,n_patients,n_simulations,successful_simulations,failed_simulations,alpha,corrected_alpha,power_any_hemi,coverage_pass_rate,power_any_hemi_with_coverage,power_lh,power_rh,mean_sampled_electrodes,mean_dice_lh,mean_dice_rh,mean_p_value_lh,mean_p_value_rh,confidence_class
0,4,1000,1000,0,0.05,0.025,0.336,0.996,0.336,0.237,0.125,233.694,0.09972073235252928,0.060566982228438336,0.14136563436563432,0.521068931068931,conservative
1,8,1000,1000,0,0.05,0.025,0.348,1.0,0.348,0.216,0.169,470.318,0.1045815110532668,0.08155830241380752,0.07819380619380616,0.3209630369630376,conservative
2,12,1000,1000,0,0.05,0.025,0.376,1.0,0.376,0.205,0.225,707.556,0.10448699963891836,0.09760531511729326,0.07145254745254734,0.2121278721278719,conservative
3,16,1000,1000,0,0.05,0.025,0.386,1.0,0.386,0.198,0.233,942.356,0.10362948262794232,0.10098705441578856,0.06877522477522478,0.17607492507492503,conservative
4,20,1000,1000,0,0.05,0.025,0.368,1.0,0.368,0.195,0.215,1174.663,0.10264420249373153,0.10472711199814612,0.06841358641358643,0.13123876123876127,conservative
0,4,1000,1000,0,0.05,0.025,0.326,0.998,0.326,0.195,0.156,235.534,0.10298170286838859,0.06208318935852285,0.1132617382617383,0.5282047952047965,expected
1,8,1000,1000,0,0.05,0.025,0.379,1.0,0.379,0.23,0.195,469.991,0.10996722161960946,0.08852588430043494,0.06988311688311682,0.3126803196803196,expected
2,12,1000,1000,0,0.05,0.025,0.347,1.0,0.347,0.207,0.175,702.712,0.11005467157273673,0.09658078009585154,0.058291708291708245,0.22322577422577397,expected
3,16,1000,1000,0,0.05,0.025,0.363,1.0,0.363,0.229,0.175,940.593,0.11204724670050406,0.1037544336757116,0.05089910089910087,0.17233866133866102,expected
4,20,1000,1000,0,0.05,0.025,0.337,1.0,0.337,0.199,0.168,1178.012,0.11200613227946414,0.1099413388685295,0.049326673326673225,0.11358441558441572,expected
0,4,1000,1000,0,0.05,0.025,0.319,0.996,0.319,0.173,0.165,232.509,0.10127669978728414,0.05767237378049503,0.12021578421578429,0.5936073926073947,optimistic
1,8,1000,1000,0,0.05,0.025,0.365,1.0,0.365,0.206,0.194,471.607,0.11197821046400687,0.08611682595956847,0.060121878121878095,0.36155244755244836,optimistic
2,12,1000,1000,0,0.05,0.025,0.343,1.0,0.343,0.237,0.149,705.457,0.11453092781290328,0.09407609386762024,0.049134865134865056,0.25600099900099865,optimistic
3,16,1000,1000,0,0.05,0.025,0.358,1.0,0.358,0.269,0.131,942.823,0.1154677949719891,0.10159353994436252,0.04381418581418581,0.18013586413586422,optimistic
4,20,1000,1000,0,0.05,0.025,0.314,1.0,0.314,0.227,0.109,1176.71,0.11520725421106935,0.10736106619855076,0.042025974025973974,0.11585214785214765,optimistic
