,n_patients,n_simulations,converged_fits,failed_fits,alpha,corrected_alpha,power_beta_4,power_beta_5,power_beta_7,mean_observations,confidence_class
0,4,1000,1000,0,0.05,0.016666666666666666,0.363,0.043,0.034,7440.766,conservative
1,8,1000,1000,0,0.05,0.016666666666666666,0.704,0.092,0.042,14880.417,conservative
2,12,1000,1000,0,0.05,0.016666666666666666,0.881,0.112,0.078,22321.468,conservative
3,16,1000,1000,0,0.05,0.016666666666666666,0.964,0.166,0.085,29760.613,conservative
4,20,1000,1000,0,0.05,0.016666666666666666,0.986,0.196,0.124,37200.671,conservative
0,4,1000,1000,0,0.05,0.016666666666666666,0.962,0.14,0.148,7440.294,expected
1,8,1000,1000,0,0.05,0.016666666666666666,1.0,0.334,0.316,14880.858,expected
2,12,1000,1000,0,0.05,0.016666666666666666,1.0,0.499,0.532,22320.894,expected
3,16,1000,1000,0,0.05,0.016666666666666666,1.0,0.628,0.657,29761.906,expected
4,20,1000,1000,0,0.05,0.016666666666666666,1.0,0.763,0.757,37202.369,expected
0,4,1000,1000,0,0.05,0.016666666666666666,1.0,0.398,0.36,7441.033,optimistic
1,8,1000,1000,0,0.05,0.016666666666666666,1.0,0.729,0.687,14880.991,optimistic
2,12,1000,1000,0,0.05,0.016666666666666666,1.0,0.891,0.886,22321.28,optimistic
3,16,1000,1000,0,0.05,0.016666666666666666,1.0,0.956,0.967,29761.618,optimistic
4,20,1000,1000,0,0.05,0.016666666666666666,1.0,0.987,0.987,37200.771,optimistic
